ano_agricola,dsc_safra_previsao,uf,produto,id_produto,area_plantada_mil_ha,producao_mil_t,produtividade_mil_ha_mil_t
1982/83             ,UNICA          ,PE,ALGODAO EM PLUMA                        ,4586,162.0,5.0,0.0
1982/83             ,UNICA          ,PI,ALGODAO EM PLUMA                        ,4586,194.0,2.6,0.0
1982/83             ,UNICA          ,PR,ALGODAO EM PLUMA                        ,4586,443.4,254.4,0.6
1982/83             ,UNICA          ,RN,ALGODAO EM PLUMA                        ,4586,427.4,4.1,0.0
1982/83             ,UNICA          ,SE,ALGODAO EM PLUMA                        ,4586,18.5,1.0,0.1
1982/83             ,UNICA          ,SP,ALGODAO EM PLUMA                        ,4586,313.5,169.3,0.5
1983/84             ,UNICA          ,AL,ALGODAO EM PLUMA                        ,4586,68.5,6.2,0.1
1983/84             ,UNICA          ,BA,ALGODAO EM PLUMA                        ,4586,105.0,22.8,0.2
1983/84             ,UNICA          ,CE,ALGODAO EM PLUMA                        ,4586,795.0,76.1,0.1
1983/84             ,UNICA          ,GO,ALGODAO EM PLUMA                        ,4586,47.0,32.8,0.7
1983/84             ,UNICA          ,MA,ALGODAO EM PLUMA                        ,4586,42.0,2.8,0.1
1983/84             ,UNICA          ,MG,ALGODAO EM PLUMA                        ,4586,110.0,28.1,0.3
1983/84             ,UNICA          ,MS,ALGODAO EM PLUMA                        ,4586,34.8,20.6,0.6
1983/84             ,UNICA          ,MT,ALGODAO EM PLUMA                        ,4586,7.0,3.4,0.5
1983/84             ,UNICA          ,PA,ALGODAO EM PLUMA                        ,4586,15.0,3.0,0.2
1983/84             ,UNICA          ,PB,ALGODAO EM PLUMA                        ,4586,530.0,34.5,0.1
1983/84             ,UNICA          ,PE,ALGODAO EM PLUMA                        ,4586,130.0,12.0,0.1
1983/84             ,UNICA          ,PI,ALGODAO EM PLUMA                        ,4586,183.0,10.0,0.1
1983/84             ,UNICA          ,PR,ALGODAO EM PLUMA                        ,4586,332.5,216.1,0.6
1983/84             ,UNICA          ,RN,ALGODAO EM PLUMA                        ,4586,440.0,22.0,0.0
1983/84             ,UNICA          ,SE,ALGODAO EM PLUMA                        ,4586,23.5,1.8,0.1
1983/84             ,UNICA          ,SP,ALGODAO EM PLUMA                        ,4586,244.0,182.3,0.7
1984/85             ,UNICA          ,AL,ALGODAO EM PLUMA                        ,4586,80.0,7.2,0.1
1984/85             ,UNICA          ,BA,ALGODAO EM PLUMA                        ,4586,129.0,65.0,0.5
1984/85             ,UNICA          ,CE,ALGODAO EM PLUMA                        ,4586,810.0,50.5,0.1
1984/85             ,UNICA          ,GO,ALGODAO EM PLUMA                        ,4586,64.0,40.8,0.6
1984/85             ,UNICA          ,MA,ALGODAO EM PLUMA                        ,4586,36.0,2.3,0.1
1984/85             ,UNICA          ,MG,ALGODAO EM PLUMA                        ,4586,155.0,70.1,0.5
1984/85             ,UNICA          ,MS,ALGODAO EM PLUMA                        ,4586,67.0,38.6,0.6
1984/85             ,UNICA          ,MT,ALGODAO EM PLUMA                        ,4586,15.0,7.4,0.5
1984/85             ,UNICA          ,PA,ALGODAO EM PLUMA                        ,4586,8.0,1.5,0.2
1984/85             ,UNICA          ,PB,ALGODAO EM PLUMA                        ,4586,530.0,21.3,0.0
1984/85             ,UNICA          ,PE,ALGODAO EM PLUMA                        ,4586,160.0,12.1,0.1
1984/85             ,UNICA          ,PI,ALGODAO EM PLUMA                        ,4586,204.0,11.6,0.1
1984/85             ,UNICA          ,PR,ALGODAO EM PLUMA                        ,4586,540.0,371.1,0.7
1984/85             ,UNICA          ,RN,ALGODAO EM PLUMA                        ,4586,499.0,9.7,0.0
1984/85             ,UNICA          ,SE,ALGODAO EM PLUMA                        ,4586,30.0,2.9,0.1
1984/85             ,UNICA          ,SP,ALGODAO EM PLUMA                        ,4586,380.0,252.7,0.7
1985/86             ,UNICA          ,AL,ALGODAO EM PLUMA                        ,4586,92.0,7.4,0.1
1985/86             ,UNICA          ,BA,ALGODAO EM PLUMA                        ,4586,210.0,77.5,0.4
1985/86             ,UNICA          ,CE,ALGODAO EM PLUMA                        ,4586,757.5,22.3,0.0
1985/86             ,UNICA          ,GO,ALGODAO EM PLUMA                        ,4586,45.0,33.1,0.7
1985/86             ,UNICA          ,MA,ALGODAO EM PLUMA                        ,4586,32.8,3.1,0.1
1985/86             ,UNICA          ,MG,ALGODAO EM PLUMA                        ,4586,167.5,57.5,0.3
1985/86             ,UNICA          ,MS,ALGODAO EM PLUMA                        ,4586,62.0,34.7,0.6
1985/86             ,UNICA          ,MT,ALGODAO EM PLUMA                        ,4586,16.5,6.3,0.4
1985/86             ,UNICA          ,PA,ALGODAO EM PLUMA                        ,4586,13.0,2.3,0.2
1985/86             ,UNICA          ,PB,ALGODAO EM PLUMA                        ,4586,380.0,9.0,0.0
1985/86             ,UNICA          ,PE,ALGODAO EM PLUMA                        ,4586,147.0,4.1,0.0
1985/86             ,UNICA          ,PI,ALGODAO EM PLUMA                        ,4586,218.0,11.5,0.1
1985/86             ,UNICA          ,PR,ALGODAO EM PLUMA                        ,4586,445.0,269.1,0.6
1985/86             ,UNICA          ,RN,ALGODAO EM PLUMA                        ,4586,340.0,6.0,0.0
1985/86             ,UNICA          ,SE,ALGODAO EM PLUMA                        ,4586,43.0,4.0,0.1
1985/86             ,UNICA          ,SP,ALGODAO EM PLUMA                        ,4586,356.0,245.5,0.7
1986/87             ,UNICA          ,AL,ALGODAO EM PLUMA                        ,4586,57.7,5.0,0.1
1986/87             ,UNICA          ,BA,ALGODAO EM PLUMA                        ,4586,178.8,39.3,0.2
1986/87             ,UNICA          ,CE,ALGODAO EM PLUMA                        ,4586,368.0,10.5,0.0
1986/87             ,UNICA          ,GO,ALGODAO EM PLUMA                        ,4586,35.0,24.5,0.7
1986/87             ,UNICA          ,MA,ALGODAO EM PLUMA                        ,4586,23.6,2.0,0.1
1986/87             ,UNICA          ,MG,ALGODAO EM PLUMA                        ,4586,147.0,33.0,0.2
1986/87             ,UNICA          ,MS,ALGODAO EM PLUMA                        ,4586,52.7,26.6,0.5
1986/87             ,UNICA          ,MT,ALGODAO EM PLUMA                        ,4586,14.0,3.9,0.3
1986/87             ,UNICA          ,PA,ALGODAO EM PLUMA                        ,4586,13.0,1.0,0.1
